locationid,latitude,longitude,zone,borough
1,40.689488139614994,-74.17152567596138,Newark Airport,EWR
2,40.61079106729335,-73.82248951361693,Jamaica Bay,Queens
3,40.865745431551126,-73.8449466422813,Allerton/Pelham Gardens,Bronx
4,40.72413720786238,-73.97772562994714,Alphabet City,Manhattan
5,40.55066537440838,-74.18753677053789,Arden Heights,Staten Island
6,40.59904685658462,-74.07256367951013,Arrochar/Fort Wadsworth,Staten Island
7,40.76108186554351,-73.92031477248251,Astoria,Queens
8,40.77862588146737,-73.92312225146479,Astoria Park,Queens
9,40.75432771219846,-73.7864908458439,Auburndale,Queens
10,40.67825239491565,-73.78899813157558,Baisley Park,Queens
11,40.60401449921972,-74.007510449703,Bath Beach,Brooklyn
12,40.70249696061747,-74.01572587059847,Battery Park,Manhattan
13,40.711534654299,-74.0158919069822,Battery Park City,Manhattan
14,40.62359258557067,-74.02852008938801,Bay Ridge,Brooklyn
15,40.78488539626116,-73.78525185967825,Bay Terrace/Fort Totten,Queens
16,40.76122069617673,-73.77473937264739,Bayside,Queens
17,40.691780230810245,-73.95068606511312,Bedford,Brooklyn
18,40.868678786045926,-73.89126978543936,Bedford Park,Bronx
19,40.73674328423478,-73.72858190313416,Bellerose,Queens
20,40.8577421680796,-73.8861961357746,Belmont,Bronx
21,40.60199502260022,-73.98585700957061,Bensonhurst East,Brooklyn
22,40.609681462062035,-73.9950716926507,Bensonhurst West,Brooklyn
23,40.60751363416179,-74.16048830961626,Bloomfield/Emerson Hill,Staten Island
24,40.80191580520843,-73.96552225569732,Bloomingdale,Manhattan
25,40.685719434441445,-73.98647182471841,Boerum Hill,Brooklyn
26,40.628601627934195,-73.99012657853419,Borough Park,Brooklyn
27,40.558946435494285,-73.90170546963151,Breezy Point/Fort Tilden/Riis Beach,Queens
28,40.71075352720881,-73.80834608449645,Briarwood/Jamaica Hills,Queens
29,40.58251439846487,-73.9606195853329,Brighton Beach,Brooklyn
30,40.60490815772557,-73.82479343526859,Broad Channel,Queens
31,40.860019378140095,-73.87609995460816,Bronx Park,Bronx
32,40.86438044535024,-73.8638466497724,Bronxdale,Bronx
33,40.69625709603422,-73.99602138646641,Brooklyn Heights,Brooklyn
34,40.702508451198185,-73.97231913450327,Brooklyn Navy Yard,Brooklyn
35,40.66380652894031,-73.91258943439885,Brownsville,Brooklyn
36,40.69897492770378,-73.91757444782695,Bushwick North,Brooklyn
37,40.6962982868561,-73.92041795172373,Bushwick South,Brooklyn
38,40.69336939864146,-73.73675716262328,Cambria Heights,Queens
39,40.63886440850684,-73.89854833878215,Canarsie,Brooklyn
40,40.67854196960149,-73.99525847712623,Carroll Gardens,Brooklyn
41,40.80417639059334,-73.95070948680674,Central Harlem,Manhattan
42,40.8209685775533,-73.94296152760926,Central Harlem North,Manhattan
43,40.782430926890406,-73.96543784456627,Central Park,Manhattan
44,40.52730921905213,-74.23063314720392,Charleston/Tottenville,Staten Island
45,40.71298223302274,-73.99883403697207,Chinatown,Manhattan
46,40.84747322730711,-73.77944082656659,City Island,Bronx
47,40.845318843421836,-73.90038604462767,Claremont/Bathgate,Bronx
48,40.7622488195133,-73.98983666003255,Clinton East,Manhattan
49,40.68876588630337,-73.96170387321409,Clinton Hill,Brooklyn
50,40.7665684548724,-73.99591049612351,Clinton West,Manhattan
51,40.873441830153844,-73.82951042814729,Co-Op City,Bronx
52,40.68645905188364,-73.99650571586444,Cobble Hill,Brooklyn
53,40.7819924596776,-73.847189686231,College Point,Queens
54,40.686850096902596,-74.00497292925259,Columbia Street,Brooklyn
55,40.57708743286506,-73.98621060625551,Coney Island,Brooklyn
56,40.741565129886304,-73.85770933462227,Corona,Queens
57,40.75197999156667,-73.8533470195439,Corona,Queens
58,40.84149345076036,-73.81897982663966,Country Club,Bronx
59,40.83893229471981,-73.89390943434059,Crotona Park,Bronx
60,40.83133703776652,-73.88497942629185,Crotona Park East,Bronx
61,40.67397348602373,-73.94241783382385,Crown Heights North,Brooklyn
62,40.66727684239473,-73.94563602053147,Crown Heights South,Brooklyn
63,40.68471024638148,-73.88253992751501,Cypress Hills,Brooklyn
64,40.76064351117115,-73.73637252009019,Douglaston,Queens
65,40.69535030061429,-73.98530022496767,Downtown Brooklyn/MetroTech,Brooklyn
66,40.701704295694555,-73.98725069214528,DUMBO/Vinegar Hill,Brooklyn
67,40.61841553307018,-74.01239309414021,Dyker Heights,Brooklyn
68,40.74843161042671,-73.99991914701923,East Chelsea,Manhattan
69,40.83060601610416,-73.91616768323327,East Concourse/Concourse Village,Bronx
70,40.764190708061136,-73.86543993416028,East Elmhurst,Queens
71,40.644187230944894,-73.93707471913244,East Flatbush/Farragut,Brooklyn
72,40.65265005396983,-73.92023427688835,East Flatbush/Remsen Village,Brooklyn
73,40.75376974805714,-73.8077109074101,East Flushing,Queens
74,40.80561328542312,-73.93740476037416,East Harlem North,Manhattan
75,40.79047880983552,-73.94541491745656,East Harlem South,Manhattan
76,40.658825172371856,-73.88256704072369,East New York,Brooklyn
77,40.667143776405915,-73.89266829860459,East New York/Pennsylvania Avenue,Brooklyn
78,40.84606230876605,-73.88202178031946,East Tremont,Bronx
79,40.727953686977045,-73.98531513309665,East Village,Manhattan
80,40.71445006634627,-73.93711249726206,East Williamsburg,Brooklyn
81,40.87739429522658,-73.82332624622698,Eastchester,Bronx
82,40.73847506050439,-73.87811290468368,Elmhurst,Queens
83,40.740163399388905,-73.89387458870331,Elmhurst/Maspeth,Queens
84,40.532023984716275,-74.19046128168661,Eltingville/Annadale/Prince's Bay,Staten Island
85,40.64700889112937,-73.95220965266294,Erasmus,Brooklyn
86,40.60257135564641,-73.75590395846024,Far Rockaway,Queens
87,40.70665880355083,-74.0072389625047,Financial District North,Manhattan
88,40.70327966853385,-74.01101072209408,Financial District South,Manhattan
89,40.640803580343324,-73.96065378984527,Flatbush/Ditmas Park,Brooklyn
90,40.742282997333575,-73.99697141070173,Flatiron,Manhattan
91,40.627953259462636,-73.93210808365768,Flatlands,Brooklyn
92,40.764359910582776,-73.82739320571693,Flushing,Queens
93,40.73919972200009,-73.83917409870772,Flushing Meadows-Corona Park,Queens
94,40.85833037944795,-73.89836197991809,Fordham South,Bronx
95,40.72269538208136,-73.84591152612717,Forest Hills,Queens
96,40.695782560757316,-73.86939014704775,Forest Park/Highland Park,Queens
97,40.69012637922412,-73.97619514474306,Fort Greene,Brooklyn
98,40.73406939816184,-73.77659555545212,Fresh Meadows,Queens
99,40.57942085307101,-74.18839085732925,Freshkills Park,Staten Island
100,40.75351008701408,-73.988790956546,Garment District,Manhattan
101,40.74353860213266,-73.71448463202205,Glen Oaks,Queens
102,40.702663927252694,-73.8762679664206,Glendale,Queens
103,40.689819464504794,-74.04514159353381,Governor's Island/Ellis Island/Liberty Island,Manhattan
104,40.69867184431501,-74.04069250330504,Governor's Island/Ellis Island/Liberty Island,Manhattan
105,40.688135356380926,-74.01918941324507,Governor's Island/Ellis Island/Liberty Island,Manhattan
106,40.67325801987311,-73.99018846511946,Gowanus,Brooklyn
107,40.73733753030077,-73.98401556048022,Gramercy,Manhattan
108,40.58891733444414,-73.98281706359892,Gravesend,Brooklyn
109,40.54909587378896,-74.15073694792966,Great Kills,Staten Island
110,40.543294401812354,-74.12701095260066,Great Kills Park,Staten Island
111,40.65189436056767,-73.99121725446571,Green-Wood Cemetery,Brooklyn
112,40.728790329580285,-73.94817917085089,Greenpoint,Brooklyn
113,40.73222524862839,-73.99496764762726,Greenwich Village North,Manhattan
114,40.728532928663896,-73.99718270855969,Greenwich Village South,Manhattan
115,40.6201202245938,-74.08732468086055,Grymes Hill/Clifton,Staten Island
116,40.82764307424762,-73.94909777742556,Hamilton Heights,Manhattan
117,40.59608315357857,-73.79020366103762,Hammels/Arverne,Queens
118,40.58567488593258,-74.13021307778571,Heartland Village/Todt Hill,Staten Island
119,40.83677034836123,-73.92489620142155,Highbridge,Bronx
120,40.84598855445909,-73.93120742462821,Highbridge Park,Manhattan
121,40.72738404895306,-73.80275496202051,Hillcrest/Pomonok,Queens
122,40.71095622104045,-73.76119404281654,Hollis,Queens
123,40.59992884239058,-73.9645349944926,Homecrest,Brooklyn
124,40.65956380845649,-73.84476568881556,Howard Beach,Queens
125,40.725468411521476,-74.00867644681539,Hudson Sq,Manhattan
126,40.81392198107554,-73.88558381080202,Hunts Point,Bronx
127,40.86446078848149,-73.91958171469814,Inwood,Manhattan
128,40.87285050167212,-73.92187327301203,Inwood Hill Park,Manhattan
129,40.75917530591671,-73.88463133085166,Jackson Heights,Queens
130,40.70328665259686,-73.79242174205773,Jamaica,Queens
131,40.72042878194465,-73.77297484023012,Jamaica Estates,Queens
132,40.64268611362545,-73.78964352632623,JFK Airport,Queens
133,40.639401166319814,-73.97819406804933,Kensington,Brooklyn
134,40.70869132350198,-73.82975428344565,Kew Gardens,Queens
135,40.729519919074306,-73.82081970552255,Kew Gardens Hills,Queens
136,40.86536240085513,-73.905395062517,Kingsbridge Heights,Bronx
137,40.740336047657294,-73.97717256218982,Kips Bay,Manhattan
138,40.77485964421261,-73.87343718740672,LaGuardia Airport,Queens
139,40.6778520049645,-73.74375551119886,Laurelton,Queens
140,40.765304816822606,-73.95472801896472,Lenox Hill East,Manhattan
141,40.76695153680257,-73.95963482610853,Lenox Hill West,Manhattan
142,40.7736586753138,-73.98153054861096,Lincoln Square East,Manhattan
143,40.775785457763675,-73.98845769741143,Lincoln Square West,Manhattan
144,40.72083181679464,-73.99724384665862,Little Italy/NoLiTa,Manhattan
145,40.746582207009446,-73.9496274835847,Long Island City/Hunters Point,Queens
146,40.754397991406876,-73.93410370226314,Long Island City/Queens Plaza,Queens
147,40.81906409144857,-73.89864769290288,Longwood,Bronx
148,40.71910141767593,-73.99066435660109,Lower East Side,Manhattan
149,40.606327317775175,-73.94642697357453,Madison,Brooklyn
150,40.58046459287603,-73.94518068282902,Manhattan Beach,Brooklyn
151,40.79785911798938,-73.9682221702727,Manhattan Valley,Manhattan
152,40.81751870056889,-73.95405635161538,Manhattanville,Manhattan
153,40.875598937678056,-73.9112258584905,Marble Hill,Manhattan
154,40.593129204231296,-73.90822017476559,Marine Park/Floyd Bennett Field,Brooklyn
155,40.61779984125637,-73.91725605006323,Marine Park/Mill Basin,Brooklyn
156,40.628759330000726,-74.16932299229812,Mariners Harbor,Staten Island
157,40.72402889859418,-73.90559522489463,Maspeth,Queens
158,40.73529529739825,-74.00977491304448,Meatpacking/West Village West,Manhattan
159,40.81833723231163,-73.91396034276366,Melrose South,Bronx
160,40.71856709476171,-73.88219192348444,Middle Village,Queens
161,40.758030251008876,-73.97768040780055,Midtown Center,Manhattan
162,40.75684008783511,-73.97247102803118,Midtown East,Manhattan
163,40.764386840083915,-73.97704100883783,Midtown North,Manhattan
164,40.74908359612632,-73.98568367069468,Midtown South,Manhattan
165,40.620073251813494,-73.95794402855306,Midwood,Brooklyn
166,40.80962164629876,-73.96160427930977,Morningside Heights,Manhattan
167,40.82798779485244,-73.90139128091434,Morrisania/Melrose,Bronx
168,40.807100674292506,-73.91466716905246,Mott Haven/Port Morris,Bronx
169,40.84922870469356,-73.90625477877008,Mount Hope,Bronx
170,40.74772480011356,-73.97764803165889,Murray Hill,Manhattan
171,40.76865786576351,-73.8084327437963,Murray Hill-Queens,Queens
172,40.5724405027105,-74.10493211336883,New Dorp/Midland Beach,Staten Island
173,40.75163926593024,-73.86340051006394,North Corona,Queens
174,40.87685305674994,-73.87874502549676,Norwood,Bronx
175,40.7432970879692,-73.75394465101964,Oakland Gardens,Queens
176,40.562072591258776,-74.12215228813189,Oakwood,Staten Island
177,40.67714873739985,-73.911393404933,Ocean Hill,Brooklyn
178,40.61763563424991,-73.97035344389302,Ocean Parkway South,Brooklyn
179,40.77142014429407,-73.9277807560141,Old Astoria,Queens
180,40.67507747361382,-73.84834282015188,Ozone Park,Queens
181,40.67193520950547,-73.98281953462353,Park Slope,Brooklyn
182,40.83773100094664,-73.85808184206338,Parkchester,Bronx
183,40.8495445650458,-73.83148806764527,Pelham Bay,Bronx
184,40.863917294675375,-73.79975802833549,Pelham Bay Park,Bronx
185,40.85347482675,-73.85245596252103,Pelham Parkway,Bronx
186,40.748496373544775,-73.9924341343755,Penn Station/Madison Sq West,Manhattan
187,40.625698473830006,-74.13743527576136,Port Richmond,Staten Island
188,40.65733936744572,-73.9447734336128,Prospect-Lefferts Gardens,Brooklyn
189,40.677220683057875,-73.96812684806724,Prospect Heights,Brooklyn
190,40.66064340328925,-73.97059331443157,Prospect Park,Brooklyn
191,40.71394840408404,-73.74200247104758,Queens Village,Queens
192,40.74441059342794,-73.8152021569993,Queensboro Hill,Queens
193,40.761793541406774,-73.94239238062636,Queensbridge/Ravenswood,Queens
194,40.79145830376352,-73.92492531387032,Randalls Island,Manhattan
195,40.67546295638451,-74.00928514631666,Red Hook,Brooklyn
196,40.72371254876027,-73.86568843367422,Rego Park,Queens
197,40.69266735388762,-73.83006053115416,Richmond Hill,Queens
198,40.70461392432039,-73.90083342753417,Ridgewood,Queens
199,40.79205183008042,-73.88180096934396,Rikers Island,Bronx
200,40.90007560612429,-73.90846687412984,Riverdale/North Riverdale/Fieldston,Bronx
201,40.5774218594185,-73.84104052161538,Rockaway Park,Queens
202,40.761180806781596,-73.95081168770048,Roosevelt Island,Manhattan
203,40.65928494184319,-73.74453868117133,Rosedale,Queens
204,40.540775870692265,-74.20652667104866,Rossville/Woodrow,Staten Island
205,40.691698027395226,-73.76343547832366,Saint Albans,Queens
206,40.635989629714906,-74.10065353552305,Saint George/New Brighton,Staten Island
207,40.76352213471697,-73.89853618537848,Saint Michaels Cemetery/Woodside,Queens
208,40.82468017550547,-73.81617148263088,Schuylerville/Edgewater Park,Bronx
209,40.70847535091812,-74.00412841215771,Seaport,Manhattan
210,40.59377082857791,-73.9391962097623,Sheepshead Bay,Brooklyn
211,40.72371648291452,-74.00108192197239,SoHo,Manhattan
212,40.82828767607801,-73.87039556671365,Soundview/Bruckner,Bronx
213,40.816731370792056,-73.86027521405913,Soundview/Castle Hill,Bronx
214,40.58661635006406,-74.08480864561312,South Beach/Dongan Hills,Staten Island
215,40.69419208698072,-73.79230112190288,South Jamaica,Queens
216,40.677222522161365,-73.82062521890268,South Ozone Park,Queens
217,40.7032320056805,-73.95772171969621,South Williamsburg,Brooklyn
218,40.67348236381235,-73.77287378904317,Springfield Gardens North,Queens
219,40.660308169555954,-73.77031766231762,Springfield Gardens South,Queens
220,40.88184930807984,-73.91076089177298,Spuyten Duyvil/Kingsbridge,Bronx
221,40.62023024721676,-74.072363266337,Stapleton,Staten Island
222,40.64671811250597,-73.882917796064,Starrett City,Brooklyn
223,40.778406838788975,-73.90583210697467,Steinway,Queens
224,40.731710157444574,-73.9769805471532,Stuy Town/Peter Cooper Village,Manhattan
225,40.688714833719835,-73.93012296976369,Stuyvesant Heights,Brooklyn
226,40.73524693575397,-73.92653049129719,Sunnyside,Queens
227,40.64153479500538,-74.0029480543899,Sunset Park East,Brooklyn
228,40.65359300851703,-74.00996120455362,Sunset Park West,Brooklyn
229,40.75657342350862,-73.96499770371872,Sutton Place/Turtle Bay North,Manhattan
230,40.759816935371866,-73.98419649030515,Times Sq/Theatre District,Manhattan
231,40.71857653319885,-74.00726407589688,TriBeCa/Civic Center,Manhattan
232,40.71529952203663,-73.98302174649305,Two Bridges/Seward Park,Manhattan
233,40.74912352340265,-73.9699792454683,UN/Turtle Bay South,Manhattan
234,40.74023673754262,-73.99045769686899,Union Sq,Manhattan
235,40.853709874599296,-73.91638080821232,University Heights/Morris Heights,Bronx
236,40.78043963903396,-73.95701007786707,Upper East Side North,Manhattan
237,40.76861401615748,-73.96563559607029,Upper East Side South,Manhattan
238,40.79178334130001,-73.9730312061259,Upper West Side North,Manhattan
239,40.78402467184409,-73.97873165557294,Upper West Side South,Manhattan
240,40.89477155956185,-73.88053624317433,Van Cortlandt Park,Bronx
241,40.87601241184217,-73.89587874426599,Van Cortlandt Village,Bronx
242,40.84965337341624,-73.85104022621752,Van Nest/Morris Park,Bronx
243,40.85863885680896,-73.93579384854495,Washington Heights North,Manhattan
244,40.84119423491348,-73.9407750505543,Washington Heights South,Manhattan
245,40.62838711805502,-74.10068245787151,West Brighton,Staten Island
246,40.752411745817085,-74.00381236916317,West Chelsea/Hudson Yards,Manhattan
247,40.829182377133655,-73.9225137751614,West Concourse,Bronx
248,40.83468053974887,-73.87330004839919,West Farms/Bronx River,Bronx
249,40.73461066592281,-74.00196544933564,West Village,Manhattan
250,40.83260904544631,-73.8498621515554,Westchester Village/Unionport,Bronx
251,40.61958467181592,-74.12367427378986,Westerleigh,Staten Island
252,40.78831685242009,-73.81570278183855,Whitestone,Queens
253,40.76039185525365,-73.8417522517167,Willets Point,Queens
254,40.8833098569225,-73.85822977434634,Williamsbridge/Olinville,Bronx
255,40.71879249996845,-73.9572880106519,Williamsburg (North Side),Brooklyn
256,40.7109789727406,-73.95933183283628,Williamsburg (South Side),Brooklyn
257,40.65347764098074,-73.97963519429607,Windsor Terrace,Brooklyn
258,40.68997247030925,-73.85493641775041,Woodhaven,Queens
259,40.899069792867955,-73.85631852356715,Woodlawn/Wakefield,Bronx
260,40.74660451712384,-73.90684115099866,Woodside,Queens
261,40.7091199762481,-74.01264388666944,World Trade Center,Manhattan
262,40.77668091965627,-73.94514228025622,Yorkville East,Manhattan
263,40.77876628142981,-73.95100879518704,Yorkville West,Manhattan
